training_steps,agent_0,agent_1,agent_2
2955,0.21445669,0.2200512,0.2258395
2970,0.21946579,0.22264387,0.23273142
2985,0.21652468,0.21619868,0.22945869
3000,0.22438149,0.23068568,0.2320048
3015,0.21424764,0.21993676,0.22925448
3030,0.19336821,0.19727543,0.20170802
3045,0.21319817,0.21746811,0.22090435
3060,0.21873513,0.21791236,0.22749992
3075,0.21902835,0.22276638,0.23157862
3090,0.22016384,0.22295177,0.23056355
3105,0.23683476,0.23957458,0.2499474
3120,0.26248676,0.26552436,0.27492848
3135,0.22151814,0.22430281,0.22938704
3150,0.19982745,0.19841637,0.2072928
3165,0.21522793,0.22049625,0.22771467
3180,0.22099602,0.22468336,0.23033623
3195,0.2153672,0.21943183,0.2266492
3210,0.21195461,0.21671467,0.22248809
3225,0.2295963,0.23361474,0.23731497
3240,0.2373652,0.24072766,0.24826391
3255,0.21561052,0.21766889,0.22560032
3270,0.26432523,0.27248272,0.28090045
3285,0.2494099,0.25682983,0.26369178
3300,0.21239643,0.22102018,0.2310851
3315,0.21397163,0.2117305,0.22480571
3330,0.2255287,0.22597592,0.23562852
3345,0.25406176,0.25669363,0.26136228
3360,0.21307164,0.2172845,0.22415307
3375,0.23510018,0.23960087,0.25119472
3390,0.21477388,0.21910255,0.22757179
3405,0.23368926,0.23531313,0.24396062
3420,0.20967126,0.2111164,0.22156398
3435,0.23739854,0.23776074,0.25080234
3450,0.20626943,0.20626126,0.21282363
3465,0.22182167,0.22604781,0.24178573
3480,0.21593615,0.22016266,0.22571632
3495,0.21794024,0.22692592,0.22924103
3510,0.21483791,0.21312788,0.22360489
3525,0.22612356,0.23242898,0.24160656
3540,0.21763517,0.22307399,0.23376499
3555,0.20000152,0.20569791,0.21130976
3570,0.2091029,0.21578743,0.22561751
3585,0.21537034,0.22015211,0.22897924
3600,0.22284363,0.22863628,0.23675404
3615,0.22599664,0.23196818,0.24329504
3630,0.21130109,0.21620105,0.22300568
3645,0.21019094,0.20900719,0.22212611
3660,0.21519448,0.2174523,0.22696678
3675,0.22080651,0.22252183,0.23151277
3690,0.21473557,0.215024,0.21968544
3705,0.22229584,0.2257829,0.23942135
3720,0.24455059,0.25281814,0.25783423
3735,0.23794906,0.24034555,0.24817678
3750,0.23220418,0.23502141,0.24535692
3765,0.2605106,0.26769862,0.27258992
3780,0.23628847,0.24209517,0.24876344
3795,0.20867513,0.21089867,0.21835726
3810,0.214939,0.21924825,0.22616017
3825,0.22494994,0.22840309,0.23451395
3840,0.23617704,0.24110106,0.2495738
3855,0.23834863,0.24100025,0.24700789
3870,0.23513176,0.24169026,0.2504104
3885,0.2557535,0.26003286,0.2696246
3900,0.22501269,0.22733606,0.2347844
3915,0.2393767,0.24707665,0.2534703
3930,0.25977704,0.26821846,0.27451596
3945,0.19572872,0.20001072,0.20979714
3960,0.21956277,0.22317958,0.23130374
3975,0.21156254,0.21720155,0.2210352
3990,0.23530838,0.24181175,0.24935126
4005,0.2093853,0.21160248,0.21765184
4020,0.22166613,0.2298574,0.23634346
4035,0.20156166,0.20464268,0.21080485
4050,0.24524508,0.25166884,0.258289
4065,0.2136488,0.21534395,0.22186938
4080,0.25978738,0.26818264,0.27496952
4095,0.20450793,0.20896779,0.21637596
4110,0.22209261,0.22736007,0.2384143
4125,0.23625222,0.24060066,0.24989903
4140,0.22019322,0.23179108,0.23767091
4155,0.21810873,0.22529918,0.23106623
4170,0.22371385,0.23410872,0.24343729
4185,0.24925189,0.25868404,0.26247504
4200,0.22307716,0.22630104,0.23812184
4215,0.20913723,0.21644382,0.2235751
4230,0.24316347,0.2534354,0.25860405
4245,0.22329214,0.22963925,0.2349356
4260,0.22417067,0.23446818,0.24262103
4275,0.23984715,0.24659742,0.25275463
4290,0.24234472,0.25077894,0.2608938
4305,0.22449616,0.23460539,0.24215831
4320,0.2376248,0.24799354,0.25476635
4335,0.2437795,0.25189885,0.25873426
4350,0.24832046,0.2560174,0.2664841
4365,0.24220815,0.25203195,0.26056764
4380,0.24492441,0.2560159,0.2682905
4395,0.19411714,0.20353052,0.20686157
4410,0.22779758,0.23831059,0.24761589
4425,0.2007208,0.20764773,0.21734004
4440,0.21829192,0.22918716,0.24002098
4455,0.2202224,0.22916839,0.23541394
4470,0.22765762,0.2387867,0.24627967
4485,0.22810069,0.23654664,0.24869618
4500,0.21824987,0.22828014,0.2398693
4515,0.21671101,0.22528252,0.23284753
4530,0.20717269,0.21376334,0.22638547
4545,0.24435556,0.2577153,0.2671599
4560,0.21118353,0.2212902,0.22787367
4575,0.2249689,0.24083883,0.24847806
4590,0.23925067,0.2537325,0.26324973
4605,0.2099304,0.22176088,0.23103905
4620,0.2141971,0.22470498,0.23520516
4635,0.20934083,0.2203569,0.2317505
4650,0.23112372,0.24429904,0.2518097
4665,0.25643575,0.26540774,0.2801686
4680,0.23551932,0.247478,0.25817767
4695,0.255344,0.26773462,0.27692145
4710,0.23740347,0.25059885,0.26734018
4725,0.21646035,0.23065327,0.24112032
4740,0.20670873,0.21815333,0.22635435
4755,0.24008586,0.25316507,0.26298198
4770,0.22285835,0.23203617,0.2459984
4785,0.20430928,0.21699339,0.2271196
4800,0.22107135,0.23693457,0.24325392
4815,0.21624523,0.2242519,0.2328762
4830,0.23841092,0.25264135,0.26346833
4845,0.22007488,0.23594174,0.24419907
4860,0.21043132,0.22101185,0.23270427
4875,0.24383211,0.25948125,0.26709762
4890,0.2091295,0.22154142,0.22930959
4905,0.20923507,0.22165515,0.23361143
4920,0.2197779,0.23529111,0.2458239
4935,0.19701546,0.20467648,0.21565974
4950,0.21235079,0.22764699,0.23708068
4965,0.20553558,0.21940716,0.2266279
